Entity,Year,Annual CO2 emissions,GDP per capita,Population,per_capita_CO2,per_gdp_CO2,Annual nitrous oxide emissions,Annual methane emissions,Annual greenhouse gas emissions,CO2 emissions %,CO2 % from greenhouse emissions
Australia,2000,349635500.0,36603.047,19017968,18.384482506227794,0.5022664508292929,92194560.0,181757420.0,735657000.0,1.373617814642733,47.52697248853745
Australia,2001,357132350.0,37275.992,19248146,18.554116848448675,0.4977497808361124,101695400.0,193973420.0,734899200.0,1.3913498061344671,48.59609998214721
Australia,2002,361540800.0,38567.066,19475842,18.563551706776014,0.48133170687072785,95253700.0,187451760.0,703261100.0,1.3756716915062488,51.40918500966426
Australia,2003,369279520.0,39523.656,19699004,18.74610107191206,0.47430078512757173,58358820.0,144031780.0,686768600.0,1.335472715571282,53.77058881259277
Australia,2004,382820900.0,40887.727,19925060,19.213036246816824,0.4698973911368764,80272340.0,166125280.0,730357100.0,1.3368194199784578,52.41557862585302
Australia,2005,386153540.0,41904.445,20171732,19.14330113051274,0.4568322317718977,59553356.0,145940060.0,652591500.0,1.3039295277377019,59.17232142925551
Australia,2006,392384320.0,42650.984,20467032,19.17153009776894,0.4494979552586393,77428420.0,165929810.0,681591360.0,1.2825901563874593,57.56885181173658
Australia,2007,399624830.0,44033.582,20830832,19.18429518321688,0.4356741902854253,73021656.0,162480740.0,698013630.0,1.2683769288065798,57.251723007185404
Australia,2008,404233060.0,44421.64,21247876,19.024633803397574,0.42827400796993476,58749630.0,144428590.0,726479100.0,1.2598489252391616,55.642765222013956
Australia,2009,407065000.0,44686.543,21660898,18.792618847104123,0.42054313414005023,62647796.0,148974860.0,687925060.0,1.289648293348581,59.17286978904359
Australia,2010,405103330.0,45400.223,22019166,18.39775993332354,0.4052350124651049,52604800.0,139479730.0,811250940.0,1.2141803045028874,49.935637670879004
Australia,2011,403828770.0,46132.0,22357032,18.06271825347837,0.3915442264258729,101773020.0,192499630.0,826610100.0,1.1709589635959483,48.85359736107749
Australia,2012,406150900.0,46999.0,22729272,17.869067693853108,0.3802010190398329,101453150.0,191711170.0,777675970.0,1.1602232971407695,52.22623761924906
Australia,2013,397887460.0,47250.0,23111788,17.21578010320967,0.3643551344594639,62638508.0,142827950.0,675925570.0,1.1265472037871753,58.86557302455654
Australia,2014,393952900.0,47867.0,23469578,16.785683151184056,0.35067338983399954,74301416.0,152143800.0,665306500.0,1.1073079623246544,59.21374584496017
Australia,2015,401793060.0,48357.0,23820240,16.867716698068534,0.34881644225383157,71115580.0,152091340.0,650599200.0,1.129947246469543,61.75738611421594
Australia,2016,411264300.0,48845.0,24195706,16.99740854844244,0.34798666288140934,58032710.0,131232150.0,646500160.0,1.1577021179089515,63.613951773809305
Australia,2017,414358300.0,49265.613,24590336,16.8504529584305,0.34203274723143096,78380520.0,151146940.0,680855550.0,1.1479106823422849,60.8584743122091
Australia,2018,416283800.0,49830.8,24979228,16.665198780362626,0.33443570603648,76706080.0,151289950.0,658960260.0,1.1303916662208826,63.17282319877682
Brazil,1950,19659072.0,2236.0,53955360,0.36435809157792665,0.16295084596508347,23788108.0,103934670.0,613686900.0,0.3274726182655059,3.2034368014047554
Brazil,1951,21659348.0,2279.0,55591060,0.3896192661194084,0.17096062576542712,24747866.0,107412240.0,682095000.0,0.3394990420148981,3.175415154780493
Brazil,1952,24934310.0,2377.0,57283340,0.4352803101215816,0.18312171229347143,26152960.0,111078390.0,732113100.0,0.38563815020337233,3.4058002786727894
Brazil,1953,25218440.0,2418.0,59025680,0.4272452261456369,0.17669364191300121,27904690.0,114756520.0,771303800.0,0.37935227233582186,3.2695858622763168
Brazil,1954,29675626.0,2531.0,60827596,0.487864521228161,0.1927556385729597,29904346.0,118653680.0,812349950.0,0.4370509791723644,3.653059374226588
Brazil,1955,34023692.0,2675.0,62701036,0.5426336496258212,0.2028537007946995,32053230.0,122638040.0,854427140.0,0.4571083790884727,3.9820471994838553
